case,play,song,begin_frame,end_frame,begin,end,query_peaks,query_matched,reference_peaks,reference_matched,verify_q,verify_r,oracle_start,oracle_hold,maximum_retrieval_confidence,native_start_gate_candidates,native_hold_predictions
gain,clean-t13,t13,55470,55814,322.00272108843535,323.9996371882086,43,35,42,35,0.813953488372093,0.8333333333333334,True,True,96.789727,3,1
gain,clean-t13,t13,55814,56159,323.9996371882086,326.002358276644,52,42,49,42,0.8076923076923077,0.8571428571428571,True,True,97.638725,3,1
gain,clean-t13,t13,56159,56503,326.002358276644,327.99927437641725,43,36,47,36,0.8372093023255814,0.7659574468085106,True,True,98.168498,3,1
gain,clean-t14,t14,59604,59948,346.0005442176871,347.9974603174603,34,31,35,31,0.9117647058823529,0.8857142857142857,True,True,96.572408,3,0
gain,clean-t14,t14,59948,60293,347.9974603174603,350.0001814058957,39,39,40,39,1.0,0.975,True,True,98.233996,3,1
gain,clean-t14,t14,60293,60638,350.0001814058957,352.00290249433107,35,32,35,32,0.9142857142857143,0.9142857142857143,True,True,98.67286,3,1
gain,clean-t14,t14,60638,60982,352.00290249433107,353.9998185941043,31,30,31,30,0.967741935483871,0.967741935483871,True,True,98.962117,3,1
gain,clean-t15,t15,64083,64427,372.00108843537413,373.9980045351474,34,26,32,26,0.7647058823529411,0.8125,True,True,95.412844,2,0
gain,clean-t15,t15,64427,64772,373.9980045351474,376.00072562358275,28,25,26,25,0.8928571428571429,0.9615384615384616,True,True,97.014925,3,1
gain,clean-t15,t15,64772,65116,376.00072562358275,377.997641723356,29,25,31,25,0.8620689655172413,0.8064516129032258,True,True,97.681159,3,1
gain,clean-t15,t15,65116,65461,377.997641723356,380.0003628117914,27,21,25,21,0.7777777777777778,0.84,True,True,98.058252,3,1
gain,clean-t16,t16,68562,68906,398.0016326530612,399.9985487528345,37,33,39,33,0.8918918918918919,0.8461538461538461,True,True,96.161228,3,0
gain,clean-t16,t16,68906,69251,399.9985487528345,402.00126984126985,39,35,40,35,0.8974358974358975,0.875,True,True,97.503121,3,1
gain,clean-t16,t16,69251,69595,402.00126984126985,403.99818594104306,38,33,40,33,0.868421052631579,0.825,True,True,98.297148,3,1
gain,clean-t16,t16,69595,69940,403.99818594104306,406.00090702947847,34,30,32,30,0.8823529411764706,0.9375,True,True,98.638993,3,1
gain,clean-t17,t17,73041,73385,424.0021768707483,425.99909297052153,37,34,36,34,0.918918918918919,0.9444444444444444,True,True,97.300945,3,0
gain,clean-t17,t17,73385,73730,425.99909297052153,428.00181405895694,48,43,46,43,0.8958333333333334,0.9347826086956522,True,True,98.245614,3,1
gain,clean-t17,t17,73730,74074,428.00181405895694,429.99873015873015,48,42,45,42,0.875,0.9333333333333333,True,True,98.732573,3,1
gain,clean-t17,t17,74074,74419,429.99873015873015,432.0014512471655,35,30,31,30,0.8571428571428571,0.967741935483871,True,True,98.940678,3,1
gain,clean-t18,t18,77520,77864,450.00272108843535,451.9996371882086,42,42,42,42,1.0,1.0,True,True,97.988939,3,0
gain,clean-t18,t18,77864,78209,451.9996371882086,454.002358276644,40,40,40,40,1.0,1.0,True,True,98.75815,3,1
gain,clean-t18,t18,78209,78553,454.002358276644,455.99927437641725,41,41,41,41,1.0,1.0,True,True,99.089461,3,1
gain,clean-t18,t18,78553,78898,455.99927437641725,458.0019954648526,46,46,46,46,1.0,1.0,True,True,99.296023,3,1
gain,clean-t19,t19,81998,82343,475.9974603174603,478.0001814058957,32,30,33,30,0.9375,0.9090909090909091,True,True,95.656895,1,0
gain,clean-t19,t19,82343,82688,478.0001814058957,480.00290249433107,39,36,40,36,0.9230769230769231,0.9,True,True,97.546012,1,1
gain,clean-t19,t19,82688,83032,480.00290249433107,481.9998185941043,34,27,33,27,0.7941176470588235,0.8181818181818182,True,True,98.097955,1,1
gain,clean-t19,t19,83032,83377,481.9998185941043,484.0025396825397,43,33,45,33,0.7674418604651163,0.7333333333333333,True,True,98.394219,2,1
gain,clean-t20,t20,86477,86822,501.9980045351474,504.00072562358275,31,19,29,19,0.6129032258064516,0.6551724137931034,True,True,82.978723,1,0
gain,clean-t20,t20,86822,87166,504.00072562358275,505.997641723356,33,21,38,21,0.6363636363636364,0.5526315789473685,True,True,90.909091,2,1
gain,clean-t20,t20,87166,87511,505.997641723356,508.0003628117914,41,27,42,27,0.6585365853658537,0.6428571428571429,True,True,94.108984,3,1
gain,clean-t20,t20,87511,87855,508.0003628117914,509.99727891156465,39,25,37,25,0.6410256410256411,0.6756756756756757,True,True,95.530726,3,1
gain,clean-t21,t21,90956,91301,527.9985487528345,530.0012698412698,50,38,50,38,0.76,0.76,True,True,95.584989,3,0
gain,clean-t21,t21,91301,91645,530.0012698412698,531.9981859410431,48,38,51,38,0.7916666666666666,0.7450980392156863,True,True,96.825397,3,1
gain,clean-t21,t21,91645,91990,531.9981859410431,534.0009070294784,47,38,49,38,0.8085106382978723,0.7755102040816326,True,True,97.749015,3,1
gain,clean-t21,t21,91990,92334,534.0009070294784,535.9978231292517,56,45,53,45,0.8035714285714286,0.8490566037735849,True,True,98.328458,2,1
gain,clean-t22,t22,95435,95780,553.9990929705216,556.0018140589569,33,26,31,26,0.7878787878787878,0.8387096774193549,True,True,94.211288,1,0
gain,clean-t22,t22,95780,96124,556.0018140589569,557.9987301587302,41,30,37,30,0.7317073170731707,0.8108108108108109,True,True,96.190476,3,1
gain,clean-t22,t22,96124,96469,557.9987301587302,560.0014512471655,27,23,30,23,0.8518518518518519,0.7666666666666667,True,True,97.220292,2,1
gain,clean-t22,t22,96469,96813,560.0014512471655,561.9983673469387,33,26,35,26,0.7878787878787878,0.7428571428571429,True,True,97.895844,3,1
noise_10db,clean-t01,t01,1378,1723,7.999274376417233,10.001995464852607,16,11,21,11,0.6875,0.5238095238095238,True,True,63.302752,0,0
noise_10db,clean-t01,t01,1723,2067,10.001995464852607,11.99891156462585,27,15,22,15,0.5555555555555556,0.6818181818181818,True,True,84.67433,3,0
noise_10db,clean-t01,t01,2067,2412,11.99891156462585,14.001632653061224,21,16,28,16,0.7619047619047619,0.5714285714285714,True,True,86.206897,3,0
noise_10db,clean-t01,t01,2412,2756,14.001632653061224,15.998548752834466,22,14,27,14,0.6363636363636364,0.5185185185185185,True,True,88.023952,3,1
noise_10db,clean-t02,t02,5857,6202,33.99981859410431,36.002539682539684,30,30,38,30,1.0,0.7894736842105263,True,True,94.715984,3,0
noise_10db,clean-t02,t02,6202,6546,36.002539682539684,37.99945578231293,30,29,35,29,0.9666666666666667,0.8285714285714286,True,True,96.524761,3,1
noise_10db,clean-t02,t02,6546,6891,37.99945578231293,40.0021768707483,32,30,40,30,0.9375,0.75,True,True,97.395833,3,1
noise_10db,clean-t02,t02,6891,7235,40.0021768707483,41.999092970521545,31,27,36,27,0.8709677419354839,0.75,True,True,97.936017,3,1
noise_10db,clean-t03,t03,10336,10680,60.00036281179138,61.99727891156463,35,25,38,25,0.7142857142857143,0.6578947368421053,True,True,91.03139,3,0
noise_10db,clean-t03,t03,10680,11025,61.99727891156463,64.0,43,27,41,27,0.627906976744186,0.6585365853658537,True,True,94.065282,3,1
noise_10db,clean-t03,t03,11025,11370,64.0,66.00272108843538,43,34,48,34,0.7906976744186046,0.7083333333333334,True,True,95.854922,3,1
noise_10db,clean-t03,t03,11370,11714,66.00272108843538,67.99963718820862,40,26,44,26,0.65,0.5909090909090909,True,True,96.370236,3,1
noise_10db,clean-t04,t04,14815,15159,86.00090702947846,87.9978231292517,19,17,20,17,0.8947368421052632,0.85,True,True,93.855607,1,0
noise_10db,clean-t04,t04,15159,15504,87.9978231292517,90.00054421768708,29,29,30,29,1.0,0.9666666666666667,True,True,97.054492,1,1
noise_10db,clean-t04,t04,15504,15848,90.00054421768708,91.99746031746032,20,17,25,17,0.85,0.68,True,True,97.390737,1,1
noise_10db,clean-t04,t04,15848,16193,91.99746031746032,94.00018140589569,22,19,25,19,0.8636363636363636,0.76,True,True,98.046875,1,1
noise_10db,clean-t05,t05,19294,19638,112.00145124716553,113.99836734693878,33,30,35,30,0.9090909090909091,0.8571428571428571,True,True,93.660856,2,0
noise_10db,clean-t05,t05,19638,19983,113.99836734693878,116.00108843537414,35,32,39,32,0.9142857142857143,0.8205128205128205,True,True,95.584989,3,1
noise_10db,clean-t05,t05,19983,20327,116.00108843537414,117.99800453514739,37,33,38,33,0.8918918918918919,0.868421052631579,True,True,96.624473,3,1
noise_10db,clean-t05,t05,20327,20672,117.99800453514739,120.00072562358277,36,34,37,34,0.9444444444444444,0.918918918918919,True,True,97.404283,3,1
noise_10db,clean-t06,t06,23773,24117,138.0019954648526,139.99891156462584,28,27,32,27,0.9642857142857143,0.84375,True,True,94.858612,1,0
noise_10db,clean-t06,t06,24117,24462,139.99891156462584,142.00163265306122,29,20,34,20,0.6896551724137931,0.5882352941176471,True,True,95.753715,3,1
noise_10db,clean-t06,t06,24462,24806,142.00163265306122,143.99854875283447,29,20,36,20,0.6896551724137931,0.5555555555555556,True,True,96.551724,3,1
noise_10db,clean-t06,t06,24806,25151,143.99854875283447,146.00126984126985,30,24,36,24,0.8,0.6666666666666666,True,True,97.227997,3,1
noise_10db,clean-t07,t07,28252,28596,164.0025396825397,165.99945578231294,37,29,40,29,0.7837837837837838,0.725,True,True,92.125984,1,0
noise_10db,clean-t07,t07,28596,28941,165.99945578231294,168.0021768707483,41,32,46,32,0.7804878048780488,0.6956521739130435,True,True,95.203837,3,1
noise_10db,clean-t07,t07,28941,29285,168.0021768707483,169.99909297052153,36,30,44,30,0.8333333333333334,0.6818181818181818,True,True,96.971991,3,1
noise_10db,clean-t07,t07,29285,29630,169.99909297052153,172.0018140589569,28,24,36,24,0.8571428571428571,0.6666666666666666,True,True,97.481108,3,1
noise_10db,clean-t08,t08,32730,33075,189.99727891156462,192.0,33,29,33,29,0.8787878787878788,0.8787878787878788,True,True,95.963673,1,0
noise_10db,clean-t08,t08,33075,33420,192.0,194.00272108843538,30,24,29,24,0.8,0.8275862068965517,True,True,97.237569,1,1
noise_10db,clean-t08,t08,33420,33764,194.00272108843538,195.99963718820862,31,30,36,30,0.967741935483871,0.8333333333333334,True,True,98.00896,2,1
noise_10db,clean-t08,t08,33764,34109,195.99963718820862,198.002358276644,19,18,22,18,0.9473684210526315,0.8181818181818182,True,True,98.345056,1,1
noise_10db,clean-t09,t09,37209,37554,215.9978231292517,218.00054421768706,36,24,43,24,0.6666666666666666,0.5581395348837209,True,True,85.018727,1,0
noise_10db,clean-t09,t09,37554,37898,218.00054421768706,219.9974603174603,28,21,36,21,0.75,0.5833333333333334,True,True,92.079208,2,1
noise_10db,clean-t09,t09,37898,38243,219.9974603174603,222.0001814058957,28,19,43,19,0.6785714285714286,0.4418604651162791,True,True,93.031359,1,1
noise_10db,clean-t09,t09,38243,38588,222.0001814058957,224.00290249433107,30,25,38,25,0.8333333333333334,0.6578947368421053,True,True,95.327103,1,1
noise_10db,clean-t10,t10,41688,42033,241.99836734693878,244.00108843537416,29,26,42,26,0.896551724137931,0.6190476190476191,True,True,88.372093,1,0
noise_10db,clean-t10,t10,42033,42377,244.00108843537416,245.9980045351474,25,22,42,22,0.88,0.5238095238095238,True,True,91.649269,1,1
noise_10db,clean-t10,t10,42377,42722,245.9980045351474,248.00072562358275,22,19,33,19,0.8636363636363636,0.5757575757575758,True,True,93.589744,1,1
noise_10db,clean-t10,t10,42722,43066,248.00072562358275,249.997641723356,20,16,36,16,0.8,0.4444444444444444,True,True,94.219653,1,1
noise_10db,clean-t11,t11,46167,46512,267.99891156462587,270.0016326530612,25,19,33,19,0.76,0.5757575757575758,True,True,87.179487,1,0
noise_10db,clean-t11,t11,46512,46856,270.0016326530612,271.9985487528345,22,19,24,19,0.8636363636363636,0.7916666666666666,True,True,93.506494,1,1
noise_10db,clean-t11,t11,46856,47201,271.9985487528345,274.00126984126985,25,20,35,20,0.8,0.5714285714285714,True,True,95.459705,1,1
noise_10db,clean-t11,t11,47201,47545,274.00126984126985,275.99818594104306,30,27,35,27,0.9,0.7714285714285715,True,True,96.932515,3,1
noise_10db,clean-t12,t12,50646,50991,293.9994557823129,296.0021768707483,33,26,36,26,0.7878787878787878,0.7222222222222222,True,True,91.452991,2,0
noise_10db,clean-t12,t12,50991,51335,296.0021768707483,297.99909297052153,28,21,40,21,0.75,0.525,True,True,93.366501,3,1
noise_10db,clean-t12,t12,51335,51680,297.99909297052153,300.00181405895694,36,26,38,26,0.7222222222222222,0.6842105263157895,True,True,96.135266,3,1
noise_10db,clean-t12,t12,51680,52024,300.00181405895694,301.99873015873015,26,23,32,23,0.8846153846153846,0.71875,True,True,96.899225,2,1
noise_10db,clean-t13,t13,55125,55470,320.0,322.00272108843535,23,23,39,23,1.0,0.5897435897435898,True,True,88.095238,1,0
noise_10db,clean-t13,t13,55470,55814,322.00272108843535,323.9996371882086,23,21,42,21,0.9130434782608695,0.5,True,True,90.888383,1,1
noise_10db,clean-t13,t13,55814,56159,323.9996371882086,326.002358276644,31,29,47,29,0.9354838709677419,0.6170212765957447,True,True,93.288591,2,1
noise_10db,clean-t13,t13,56159,56503,326.002358276644,327.99927437641725,28,24,47,24,0.8571428571428571,0.5106382978723404,True,True,94.715984,3,1
noise_10db,clean-t14,t14,59604,59948,346.0005442176871,347.9974603174603,27,26,35,26,0.9629629629629629,0.7428571428571429,True,True,94.444444,3,0
noise_10db,clean-t14,t14,59948,60293,347.9974603174603,350.0001814058957,37,36,40,36,0.972972972972973,0.9,True,True,97.477932,3,1
noise_10db,clean-t14,t14,60293,60638,350.0001814058957,352.00290249433107,30,28,35,28,0.9333333333333333,0.8,True,True,98.122066,3,1
noise_10db,clean-t14,t14,60638,60982,352.00290249433107,353.9998185941043,25,25,31,25,1.0,0.8064516129032258,True,True,98.444185,3,1
noise_10db,clean-t15,t15,64083,64427,372.00108843537413,373.9980045351474,30,21,32,21,0.7,0.65625,True,True,88.095238,2,0
noise_10db,clean-t15,t15,64427,64772,373.9980045351474,376.00072562358275,18,15,26,15,0.8333333333333334,0.5769230769230769,True,True,91.208791,3,1
noise_10db,clean-t15,t15,64772,65116,376.00072562358275,377.997641723356,27,19,31,19,0.7037037037037037,0.6129032258064516,True,True,92.831541,1,1
noise_10db,clean-t15,t15,65116,65461,377.997641723356,380.0003628117914,19,17,25,17,0.8947368421052632,0.68,True,True,95.43379,3,1
noise_10db,clean-t16,t16,68562,68906,398.0016326530612,399.9985487528345,31,27,39,27,0.8709677419354839,0.6923076923076923,True,True,92.606285,3,0
noise_10db,clean-t16,t16,68906,69251,399.9985487528345,402.00126984126985,35,30,40,30,0.8571428571428571,0.75,True,True,95.180723,3,1
noise_10db,clean-t16,t16,69251,69595,402.00126984126985,403.99818594104306,35,27,40,27,0.7714285714285715,0.675,True,True,96.624473,3,1
noise_10db,clean-t16,t16,69595,69940,403.99818594104306,406.00090702947847,31,27,32,27,0.8709677419354839,0.84375,True,True,97.471555,3,1
noise_10db,clean-t17,t17,73041,73385,424.0021768707483,425.99909297052153,34,25,36,25,0.7352941176470589,0.6944444444444444,True,True,91.88641,1,0
noise_10db,clean-t17,t17,73385,73730,425.99909297052153,428.00181405895694,36,29,46,29,0.8055555555555556,0.6304347826086957,True,True,94.69496,3,1
noise_10db,clean-t17,t17,73730,74074,428.00181405895694,429.99873015873015,44,37,45,37,0.8409090909090909,0.8222222222222222,True,True,96.946565,3,1
noise_10db,clean-t17,t17,74074,74419,429.99873015873015,432.0014512471655,30,24,31,24,0.8,0.7741935483870968,True,True,97.624703,3,1
noise_10db,clean-t18,t18,77520,77864,450.00272108843535,451.9996371882086,31,21,42,21,0.6774193548387096,0.5,True,True,86.970684,1,0
noise_10db,clean-t18,t18,77864,78209,451.9996371882086,454.002358276644,25,18,40,18,0.72,0.45,True,True,90.26764,1,1
noise_10db,clean-t18,t18,78209,78553,454.002358276644,455.99927437641725,31,27,41,27,0.8709677419354839,0.6585365853658537,True,True,93.38843,3,1
noise_10db,clean-t18,t18,78553,78898,455.99927437641725,458.0019954648526,29,24,46,24,0.8275862068965517,0.5217391304347826,True,True,94.858612,3,1
noise_10db,clean-t19,t19,81998,82343,475.9974603174603,478.0001814058957,21,20,33,20,0.9523809523809523,0.6060606060606061,True,True,85.663082,1,0
noise_10db,clean-t19,t19,82343,82688,478.0001814058957,480.00290249433107,25,24,40,24,0.96,0.6,True,True,91.752577,1,1
noise_10db,clean-t19,t19,82688,83032,480.00290249433107,481.9998185941043,30,22,33,22,0.7333333333333333,0.6666666666666666,True,True,94.645248,1,1
noise_10db,clean-t19,t19,83032,83377,481.9998185941043,484.0025396825397,36,34,45,34,0.9444444444444444,0.7555555555555555,True,True,96.672213,1,1
noise_10db,clean-t20,t20,86477,86822,501.9980045351474,504.00072562358275,19,16,29,16,0.8421052631578947,0.5517241379310345,True,True,79.057592,1,0
noise_10db,clean-t20,t20,86822,87166,504.00072562358275,505.997641723356,23,17,37,17,0.7391304347826086,0.4594594594594595,True,True,84.962406,1,1
noise_10db,clean-t20,t20,87166,87511,505.997641723356,508.0003628117914,38,22,42,22,0.5789473684210527,0.5238095238095238,True,True,89.38992,2,1
noise_10db,clean-t20,t20,87511,87855,508.0003628117914,509.99727891156465,30,20,37,20,0.6666666666666666,0.5405405405405406,True,True,91.919192,3,1
noise_10db,clean-t21,t21,90956,91301,527.9985487528345,530.0012698412698,41,31,50,31,0.7560975609756098,0.62,True,True,91.701245,3,0
noise_10db,clean-t21,t21,91301,91645,530.0012698412698,531.9981859410431,42,31,51,31,0.7380952380952381,0.6078431372549019,True,True,94.194485,3,1
noise_10db,clean-t21,t21,91645,91990,531.9981859410431,534.0009070294784,41,29,49,29,0.7073170731707317,0.5918367346938775,True,True,95.63795,3,1
noise_10db,clean-t21,t21,91990,92334,534.0009070294784,535.9978231292517,47,35,53,35,0.7446808510638298,0.660377358490566,True,True,96.715928,2,1
noise_10db,clean-t22,t22,95435,95780,553.9990929705216,556.0018140589569,23,22,31,22,0.9565217391304348,0.7096774193548387,True,True,91.150442,1,0
noise_10db,clean-t22,t22,95780,96124,556.0018140589569,557.9987301587302,33,28,37,28,0.8484848484848485,0.7567567567567568,True,True,94.729908,1,1
noise_10db,clean-t22,t22,96124,96469,557.9987301587302,560.0014512471655,21,18,29,18,0.8571428571428571,0.6206896551724138,True,True,95.731057,2,1
noise_10db,clean-t22,t22,96469,96813,560.0014512471655,561.9983673469387,25,23,34,23,0.92,0.6764705882352942,True,True,96.88716,2,1
noise_0db,clean-t01,t01,1378,1723,7.999274376417233,10.001995464852607,1,1,6,1,1.0,0.16666666666666666,True,True,2.439024,0,0
noise_0db,clean-t01,t01,1723,2067,10.001995464852607,11.99891156462585,5,4,18,4,0.8,0.2222222222222222,True,True,2.439024,0,0
noise_0db,clean-t01,t01,2067,2412,11.99891156462585,14.001632653061224,3,2,21,2,0.6666666666666666,0.09523809523809523,True,True,2.439024,0,0
noise_0db,clean-t01,t01,2412,2756,14.001632653061224,15.998548752834466,2,2,5,2,1.0,0.4,True,True,2.439024,0,0
noise_0db,clean-t02,t02,5857,6202,33.99981859410431,36.002539682539684,11,10,38,10,0.9090909090909091,0.2631578947368421,True,True,29.824561,0,0
noise_0db,clean-t02,t02,6202,6546,36.002539682539684,37.99945578231293,16,15,34,15,0.9375,0.4411764705882353,True,True,54.022989,0,0
noise_0db,clean-t02,t02,6546,6891,37.99945578231293,40.0021768707483,14,13,36,13,0.9285714285714286,0.3611111111111111,True,True,60.0,0,0
noise_0db,clean-t02,t02,6891,7235,40.0021768707483,41.999092970521545,12,12,35,12,1.0,0.34285714285714286,True,True,70.37037,1,0
noise_0db,clean-t03,t03,10336,10680,60.00036281179138,61.99727891156463,12,8,35,8,0.6666666666666666,0.22857142857142856,True,True,37.5,0,0
noise_0db,clean-t03,t03,10680,11025,61.99727891156463,64.0,12,7,36,7,0.5833333333333334,0.19444444444444445,True,True,40.298507,0,0
noise_0db,clean-t03,t03,11025,11370,64.0,66.00272108843538,16,12,43,12,0.75,0.27906976744186046,True,True,59.183673,0,0
noise_0db,clean-t03,t03,11370,11714,66.00272108843538,67.99963718820862,13,9,42,9,0.6923076923076923,0.21428571428571427,True,True,59.59596,0,0
noise_0db,clean-t04,t04,14815,15159,86.00090702947846,87.9978231292517,12,9,20,9,0.75,0.45,True,True,73.509934,1,0
noise_0db,clean-t04,t04,15159,15504,87.9978231292517,90.00054421768708,24,19,30,19,0.7916666666666666,0.6333333333333333,True,True,86.970684,1,1
noise_0db,clean-t04,t04,15504,15848,90.00054421768708,91.99746031746032,17,13,25,13,0.7647058823529411,0.52,True,True,89.130435,1,1
noise_0db,clean-t04,t04,15848,16193,91.99746031746032,94.00018140589569,16,12,23,12,0.75,0.5217391304347826,True,True,92.714026,1,1
